locus_tag	ftype	length_bp	gene	EC_number	COG	product
NOGGKBHB_00187	CDS	1164	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
NOGGKBHB_00188	CDS	1512	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
NOGGKBHB_00189	CDS	1197	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
NOGGKBHB_00190	CDS	924	cynR			HTH-type transcriptional regulator CynR
NOGGKBHB_00191	CDS	1080	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
NOGGKBHB_00192	CDS	1323				hypothetical protein
NOGGKBHB_00193	CDS	780	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
NOGGKBHB_00194	CDS	693	mupP	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
NOGGKBHB_00195	CDS	813	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
NOGGKBHB_00196	CDS	621	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
NOGGKBHB_00197	CDS	504				hypothetical protein
NOGGKBHB_00198	CDS	603				hypothetical protein
NOGGKBHB_00199	CDS	621				hypothetical protein
NOGGKBHB_00200	CDS	888	rapZ		COG1660	RNase adapter protein RapZ
NOGGKBHB_00201	CDS	843	panC	6.3.2.1	COG0414	Pantothenate synthetase
NOGGKBHB_00202	CDS	843	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
NOGGKBHB_00203	CDS	489	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
NOGGKBHB_00204	CDS	1800	pcnB	2.7.7.19		Poly(A) polymerase I
NOGGKBHB_00205	CDS	339				hypothetical protein
NOGGKBHB_00206	CDS	840	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
NOGGKBHB_00207	CDS	930	cysK	2.5.1.47	COG0031	Cysteine synthase
NOGGKBHB_00208	CDS	1425	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
NOGGKBHB_00209	CDS	858	qmcA		COG0330	Protein QmcA
NOGGKBHB_00210	CDS	450				hypothetical protein
NOGGKBHB_00211	CDS	1233	nimT		COG2807	2-nitroimidazole transporter
NOGGKBHB_00212	CDS	1329	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
NOGGKBHB_00213	CDS	924	xerD		COG4974	Tyrosine recombinase XerD
NOGGKBHB_00214	CDS	240	tusA		COG0425	Sulfur carrier protein TusA
NOGGKBHB_00215	CDS	468				hypothetical protein
NOGGKBHB_00216	CDS	477	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
NOGGKBHB_00217	CDS	558				hypothetical protein
NOGGKBHB_00218	CDS	1707	recN		COG0497	DNA repair protein RecN
NOGGKBHB_00219	CDS	555	def	3.5.1.88	COG0242	Peptide deformylase
NOGGKBHB_00220	CDS	591	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
NOGGKBHB_00221	CDS	627	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
NOGGKBHB_00222	CDS	1890	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
NOGGKBHB_00223	CDS	609				hypothetical protein
NOGGKBHB_00224	CDS	777				hypothetical protein
NOGGKBHB_00225	CDS	1068				hypothetical protein
NOGGKBHB_00226	rRNA	109				5S ribosomal RNA
NOGGKBHB_00227	rRNA	557				16S ribosomal RNA (partial)
NOGGKBHB_00228	CDS	810				hypothetical protein
NOGGKBHB_00229	CDS	888	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
NOGGKBHB_00230	CDS	621				hypothetical protein
NOGGKBHB_00231	CDS	603				hypothetical protein
NOGGKBHB_00232	CDS	1185	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
NOGGKBHB_00233	CDS	996			COG1840	putative binding protein component of ABC iron transporter
NOGGKBHB_00234	CDS	1602				hypothetical protein
NOGGKBHB_00235	CDS	1020	fbpC_1	7.2.2.7		Fe(3+) ions import ATP-binding protein FbpC
NOGGKBHB_00236	CDS	198	iscX		COG2975	Protein IscX
NOGGKBHB_00237	CDS	1557	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
NOGGKBHB_00238	CDS	234				hypothetical protein
NOGGKBHB_00239	CDS	567	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
NOGGKBHB_00240	CDS	903	oxyR			Hydrogen peroxide-inducible genes activator
NOGGKBHB_00241	CDS	714				hypothetical protein
NOGGKBHB_00242	CDS	924	ddl	6.3.2.4		D-alanine--D-alanine ligase
NOGGKBHB_00243	CDS	1461	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
NOGGKBHB_00244	CDS	525	ydaF	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
NOGGKBHB_00245	CDS	1104	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
NOGGKBHB_00246	CDS	972	gshB	6.3.2.3	COG0189	Glutathione synthetase
NOGGKBHB_00247	CDS	648	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
NOGGKBHB_00248	CDS	879	tsf		COG0264	Elongation factor Ts
NOGGKBHB_00249	CDS	816	rpsB		COG0052	30S ribosomal protein S2
NOGGKBHB_00250	CDS	3627	smc_1			Chromosome partition protein Smc
NOGGKBHB_00251	CDS	498	rppH_1	3.6.1.-	COG0494	RNA pyrophosphohydrolase
NOGGKBHB_00252	CDS	414	yhfA		COG1765	Protein YhfA
NOGGKBHB_00253	CDS	423				hypothetical protein
NOGGKBHB_00254	CDS	708	coaX	2.7.1.33		Type III pantothenate kinase
NOGGKBHB_00255	CDS	894	birA	6.3.4.15		Bifunctional ligase/repressor BirA
NOGGKBHB_00256	CDS	798				hypothetical protein
NOGGKBHB_00257	tRNA	76				tRNA-Phe(gaa)
NOGGKBHB_00258	CDS	159				hypothetical protein
NOGGKBHB_00259	CDS	2175	prc	3.4.21.102	COG0793	Tail-specific protease
NOGGKBHB_00260	CDS	1074	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
NOGGKBHB_00261	CDS	1371	gor	1.8.1.7	COG1249	Glutathione reductase
NOGGKBHB_00262	CDS	1227	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
NOGGKBHB_00263	CDS	4239	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
NOGGKBHB_00264	CDS	4092	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
NOGGKBHB_00265	CDS	375	rplL			50S ribosomal protein L7/L12
NOGGKBHB_00266	CDS	504	rplJ		COG0244	50S ribosomal protein L10
NOGGKBHB_00267	CDS	702	rplA		COG0081	50S ribosomal protein L1
NOGGKBHB_00268	CDS	432	rplK		COG0080	50S ribosomal protein L11
NOGGKBHB_00269	CDS	531	nusG		COG0250	Transcription termination/antitermination protein NusG
NOGGKBHB_00270	CDS	474	secE			Protein translocase subunit SecE
NOGGKBHB_00271	tRNA	76				tRNA-Trp(cca)
NOGGKBHB_00272	CDS	1191	tufA_3		COG0050	Elongation factor Tu
NOGGKBHB_00273	CDS	249				hypothetical protein
NOGGKBHB_00274	CDS	537				hypothetical protein
NOGGKBHB_00275	CDS	240				hypothetical protein
NOGGKBHB_00276	CDS	501				hypothetical protein
NOGGKBHB_00277	CDS	912				hypothetical protein
NOGGKBHB_00278	CDS	678				hypothetical protein
NOGGKBHB_00279	CDS	279				hypothetical protein
NOGGKBHB_00280	CDS	294				hypothetical protein
NOGGKBHB_00281	CDS	714				hypothetical protein
NOGGKBHB_00282	CDS	558				hypothetical protein
NOGGKBHB_00283	CDS	594				hypothetical protein
NOGGKBHB_00284	CDS	258				hypothetical protein
NOGGKBHB_00285	CDS	156				hypothetical protein
NOGGKBHB_00286	CDS	90				hypothetical protein
NOGGKBHB_00287	CDS	927			COG0803	putative periplasmic iron-binding protein
NOGGKBHB_00288	CDS	906	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
NOGGKBHB_00289	CDS	843	mntB_1			Manganese transport system membrane protein MntB
NOGGKBHB_00290	CDS	705	mntB_2			Manganese transport system membrane protein MntB
NOGGKBHB_00291	CDS	1221	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
NOGGKBHB_00292	CDS	1236	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
NOGGKBHB_00293	CDS	828				hypothetical protein
NOGGKBHB_00294	CDS	147				hypothetical protein
NOGGKBHB_00295	CDS	2040	fhaC		COG2831	Filamentous hemagglutinin transporter protein FhaC
NOGGKBHB_00296	CDS	222				hypothetical protein
NOGGKBHB_00297	CDS	333				hypothetical protein
NOGGKBHB_00298	CDS	285				hypothetical protein
NOGGKBHB_00299	CDS	147				hypothetical protein
NOGGKBHB_00300	CDS	774				hypothetical protein
NOGGKBHB_00301	CDS	528				hypothetical protein
NOGGKBHB_00302	CDS	360				hypothetical protein
NOGGKBHB_00303	CDS	465				hypothetical protein
NOGGKBHB_00304	CDS	273				hypothetical protein
NOGGKBHB_00305	CDS	489				hypothetical protein
NOGGKBHB_00306	CDS	540				hypothetical protein
NOGGKBHB_00307	CDS	639				hypothetical protein
NOGGKBHB_00308	CDS	378				hypothetical protein
NOGGKBHB_00309	CDS	318				hypothetical protein
NOGGKBHB_00310	CDS	534				hypothetical protein
NOGGKBHB_00311	CDS	843				hypothetical protein
NOGGKBHB_00312	CDS	219				hypothetical protein
NOGGKBHB_00313	CDS	1815	lepA	3.6.5.-	COG0481	Elongation factor 4
NOGGKBHB_00314	CDS	1095				hypothetical protein
NOGGKBHB_00315	CDS	789	rnc	3.1.26.3		Ribonuclease 3
NOGGKBHB_00316	CDS	996	era		COG1159	GTPase Era
NOGGKBHB_00317	CDS	810	recO			DNA repair protein RecO
NOGGKBHB_00318	CDS	750	pdxJ	2.6.99.2		Pyridoxine 5'-phosphate synthase
NOGGKBHB_00319	CDS	1362			COG2885	Outer membrane protein Omp38
NOGGKBHB_00320	CDS	1845	typA		COG1217	GTP-binding protein TypA/BipA
NOGGKBHB_00321	CDS	1362	glmU			Bifunctional protein GlmU
NOGGKBHB_00322	CDS	726	occM			Octopine transport system permease protein OccM
NOGGKBHB_00323	CDS	723	hisQ		COG4215	Histidine transport system permease protein HisQ
NOGGKBHB_00324	CDS	798	artJ_1		COG0834	ABC transporter arginine-binding protein 1
NOGGKBHB_00325	CDS	798	artJ_2		COG0834	ABC transporter arginine-binding protein 1
NOGGKBHB_00326	CDS	789	artI		COG0834	Putative ABC transporter arginine-binding protein 2
NOGGKBHB_00327	CDS	774	occP			Octopine permease ATP-binding protein P
NOGGKBHB_00328	CDS	2601				hypothetical protein
NOGGKBHB_00329	CDS	597				hypothetical protein
NOGGKBHB_00330	CDS	2628	topA	5.6.2.1	COG0550	DNA topoisomerase 1
NOGGKBHB_00331	CDS	2880	polA	2.7.7.7	COG0258	DNA polymerase I
NOGGKBHB_00332	CDS	309				hypothetical protein
NOGGKBHB_00333	CDS	1587	prfC		COG4108	Peptide chain release factor RF3
NOGGKBHB_00334	CDS	885	cntI			Pseudopaline exporter CntI
NOGGKBHB_00335	CDS	807	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
NOGGKBHB_00336	CDS	2238	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
NOGGKBHB_00337	CDS	285	phhB	4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
NOGGKBHB_00338	CDS	1956				hypothetical protein
NOGGKBHB_00339	CDS	1398				hypothetical protein
NOGGKBHB_00340	CDS	615				hypothetical protein
NOGGKBHB_00341	CDS	852				hypothetical protein
NOGGKBHB_00342	CDS	1530				hypothetical protein
NOGGKBHB_00343	CDS	474				hypothetical protein
NOGGKBHB_00344	CDS	261				hypothetical protein
NOGGKBHB_00345	CDS	321				hypothetical protein
NOGGKBHB_00346	CDS	1662	ettA		COG0488	Energy-dependent translational throttle protein EttA
NOGGKBHB_00347	CDS	810				hypothetical protein
NOGGKBHB_00348	CDS	651	leuE		COG1280	Leucine efflux protein
NOGGKBHB_00349	CDS	1032				hypothetical protein
NOGGKBHB_00350	CDS	378				hypothetical protein
NOGGKBHB_00351	CDS	561				hypothetical protein
NOGGKBHB_00352	CDS	96				hypothetical protein
NOGGKBHB_00353	CDS	795	butA	1.1.1.304		Diacetyl reductase [(S)-acetoin forming]
NOGGKBHB_00354	CDS	1344	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
NOGGKBHB_00355	CDS	1029				Bifunctional NMN adenylyltransferase/Nudix hydrolase
NOGGKBHB_00356	CDS	612	nfuA		COG0316	Fe/S biogenesis protein NfuA
